Man or Mouse - Exact Theoretical Win Probabilities
======================================================================

Probabilities for a 2 person game:
----------------------------------------------------------------------
Hand     Win%       Tie%       Loss%
72       1.195%     0.169%    98.636%
65       0.818%     0.128%    99.054%
64       0.658%     0.117%    99.224%
63       0.512%     0.107%    99.381%
62       0.380%     0.096%    99.523%
54       0.215%     0.065%    99.719%
53       0.139%     0.055%    99.806%
52       0.076%     0.044%    99.879%
43       0.026%     0.023%    99.950%
42       0.005%     0.013%    99.982%
32       0.000%     0.003%    99.997%

Completed in 2.49 seconds

Probabilities for a 4 person game:
----------------------------------------------------------------------
Hand     Win%       Tie%       Loss%
----------------------------------------------------------------------
AA      99.755%     0.245%     0.000%
KK      98.290%     0.242%     1.468%
QQ      96.840%     0.240%     2.921%
JJ      95.405%     0.237%     4.357%
1010    93.986%     0.235%     5.779%
99      92.583%     0.232%     7.185%
88      91.194%     0.230%     8.576%
77      89.821%     0.227%     9.952%
66      88.463%     0.224%    11.312%
55      87.120%     0.222%    12.658%
44      85.791%     0.220%    13.989%
33      84.478%     0.217%    15.305%
22      83.179%     0.215%    16.606%
AK      81.457%     1.939%    16.604%
AQ      78.901%     1.910%    19.189%
AJ      76.383%     1.881%    21.736%
A10     73.905%     1.852%    24.243%
A9      71.465%     1.823%    26.712%
A8      69.063%     1.794%    29.143%
A7      66.700%     1.765%    31.535%
A6      64.375%     1.737%    33.888%
A5      62.087%     1.708%    36.204%
A4      59.838%     1.680%    38.482%
A3      57.626%     1.652%    40.722%
A2      55.452%     1.624%    42.925%
KQ      47.045%     1.337%    51.618%
KJ      45.287%     1.313%    53.400%
K10     43.561%     1.289%    55.150%
K9      41.867%     1.265%    56.868%
K8      40.205%     1.241%    58.554%
K7      38.574%     1.217%    60.209%
K6      36.975%     1.194%    61.831%
K5      35.407%     1.170%    63.423%
K4      33.871%     1.147%    64.983%
K3      32.365%     1.124%    66.511%
K2      30.890%     1.100%    68.009%
QJ      25.700%     0.887%    73.413%
Q10     24.537%     0.867%    74.596%
Q9      23.400%     0.848%    75.752%
Q8      22.288%     0.829%    76.883%
Q7      21.203%     0.809%    77.988%
Q6      20.143%     0.790%    79.067%
Q5      19.108%     0.771%    80.121%
Q4      18.098%     0.752%    81.149%
Q3      17.114%     0.734%    82.152%
Q2      16.154%     0.715%    83.130%
J10     13.112%     0.562%    86.326%
J9      12.379%     0.546%    87.075%
J8      11.666%     0.531%    87.803%
J7      10.973%     0.516%    88.511%
J6      10.301%     0.501%    89.199%
J5       9.649%     0.486%    89.866%
J4       9.016%     0.471%    90.513%
J3       8.404%     0.456%    91.140%
J2       7.811%     0.441%    91.748%
109      6.140%     0.335%    93.525%
108      5.704%     0.323%    93.972%
107      5.285%     0.312%    94.404%
106      4.881%     0.300%    94.819%
105      4.492%     0.289%    95.219%
104      4.119%     0.277%    95.604%
103      3.760%     0.266%    95.974%
102      3.417%     0.255%    96.328%
98       2.572%     0.185%    97.243%
97       2.333%     0.177%    97.490%
96       2.106%     0.168%    97.726%
95       1.891%     0.160%    97.950%
94       1.686%     0.151%    98.163%
93       1.492%     0.143%    98.364%
92       1.310%     0.135%    98.555%
87       0.927%     0.093%    98.980%
86       0.810%     0.087%    99.104%
85       0.701%     0.081%    99.219%
84       0.599%     0.075%    99.326%
83       0.505%     0.069%    99.426%
82       0.419%     0.064%    99.518%
76       0.270%     0.040%    99.690%
75       0.221%     0.036%    99.743%
74       0.176%     0.032%    99.791%
73       0.137%     0.029%    99.834%
72       0.102%     0.025%    99.873%
65       0.057%     0.014%    99.930%
64       0.040%     0.012%    99.948%
63       0.027%     0.010%    99.964%
62       0.016%     0.008%    99.976%
54       0.007%     0.003%    99.990%
53       0.003%     0.002%    99.994%
52       0.001%     0.001%    99.997%
43       0.000%     0.000%    99.999%
42       0.000%     0.000%   100.000%
